Rep,TrtNo,TrtNameT1,TrtNameFull,Pot Mass Before Watering (g),Target Pot Mass at 70% SWD (g),NoLeaves,LLL,GermDate
8,15,ll,T1 LL/T2 long,125.8,78.32,14,17.4,45336
9,1,control,T1 control/T2 control,121,81.46,13,15.7,45336
9,2,se,T1 SE/T2 control,97.5,72.43,14,15.7,45336
9,3,le,T1 LE/T2 control,110.5,77.69,13,15,45336
9,4,sl,T1 SL/T2 control,114.9,80.14,12,17.1,45336
9,5,ll,T1 LL/T2 control,93.9,72.15,19,15.5,45338
9,6,control,T1 control/T2 short,104.2,74.34,13,15.6,45338
9,7,se,T1 SE/T2 short,107.8,84,14,16.2,45336
9,8,le,T1 LE/T2 short,94.5,72.73,17,16,45338
9,9,sl,T1 SL/T2 short,107.9,77.49,12,17.3,45336
9,10,ll,T1 LL/T2 control,110.1,73.31,13,15.8,45336
9,11,control,T1 control/T2 long,107.6,73.03,14,14.3,45338
9,12,se,T1 SE/T2 long,104.6,82.12,16,16.5,45336
9,13,le,T1 LE/T2 long,111.5,82.35,14,18,45338
9,14,sl,T1 SL/T2 long,119.4,77.14,19,17.2,45336
9,15,ll,T1 LL/T2 long,107.9,79.74,22,17.8,45336
10,1,control,T1 control/T2 control,103.7,74.79,15,14.5,45336
10,2,se,T1 SE/T2 control,90,69.52,12,17.5,45336
10,3,le,T1 LE/T2 control,96.6,73.08,16,16.5,45338
10,4,sl,T1 SL/T2 control,107.4,72.46,13,15.6,45336
10,5,ll,T1 LL/T2 control,108.5,76.14,19,15.9,45336
10,6,control,T1 control/T2 short,110.1,75.34,16,15.3,45336
10,7,se,T1 SE/T2 short,79.7,70.45,16,16.5,45338
10,8,le,T1 LE/T2 short,98.7,76.76,15,17,45336
10,9,sl,T1 SL/T2 short,115.5,80.75,17,16.5,45336
10,10,ll,T1 LL/T2 control,106.9,77.51,13,16.7,45336
10,11,control,T1 control/T2 long,112.7,77.66,14,14.2,45336
10,12,se,T1 SE/T2 long,85.5,79.56,17,19.1,45336
10,13,le,T1 LE/T2 long,97.1,73.61,15,15.5,45338
10,14,sl,T1 SL/T2 long,158.2,76.03,,,
10,15,ll,T1 LL/T2 long,102.9,77.13,19,17,45336
