Rep,TrtNo,TrtNameFull,TrtNameT1,MassBefore,MassTarget,MassAfter,Ht,NoLeaves,LLL,Slouch
7,11,T1 control/T2 long,Control,150.6,75.66,169.5,6.8,6,7.1,Y
7,12,T1 SE/T2 long,SE,135.9,72.44,159.9,7.1,8,8.5,Y
7,13,T1 LE/T2 long,LE,147.6,79.68,175.1,9,9,10.7,Y
7,14,T1 SL/T2 long,SL,137.8,76.05,162.3,7.5,6,7.4,Y
7,15,T1 LL/T2 long,LL,52.2,73.92,74.9,6.4,7,7.1,Y
8,1,T1 control/T2 control,Control,141.4,73.01,164.9,7.8,7,8.4,Y
8,2,T1 SE/T2 control,SE,124.8,72.01,160.1,9.5,8,10.3,N
8,3,T1 LE/T2 control,LE,142.6,77.04,175.3,10,8,10.4,Y
8,4,T1 SL/T2 control,SL,143.5,74.98,166.9,6.3,7,7,Y
8,5,T1 LL/T2 control,LL,57.2,75.61,76.6,7.3,8,8,Y
8,6,T1 control/T2 short,Control,150.3,73.95,173,7.4,7,7.8,Y
8,7,T1 SE/T2 short,SE,140.7,78.24,171.1,10,8,10.3,N
8,8,T1 LE/T2 short,LE,140.1,72.99,166.7,9,8,9.5,N
8,9,T1 SL/T2 short,SL,140.6,76.63,167,7.5,4,7.7,Y
8,10,T1 LL/T2 control,LL,58.1,78,159.8,6.8,8,7.3,Y
8,11,T1 control/T2 long,Control,140.6,74.84,163.4,7.5,7,7.5,Y
8,12,T1 SE/T2 long,SE,135.7,72.74,165.2,10.1,9,10.5,Y
8,13,T1 LE/T2 long,LE,123,75.7,166.3,9.5,8,10.3,Y
8,14,T1 SL/T2 long,SL,139.8,75.13,164.7,7.8,6,7.8,Y
8,15,T1 LL/T2 long,LL,131.5,78.32,164.1,7.5,8,7.8,Y
9,1,T1 control/T2 control,Control,156.1,81.46,183.5,8.5,8,8,Y
9,2,T1 SE/T2 control,SE,134.9,72.43,161.7,9.5,8,9.1,Y
9,3,T1 LE/T2 control,LE,147.3,77.69,181.3,9.5,9,10.8,Y
9,4,T1 SL/T2 control,SL,146.5,80.14,173.5,7,7,7.8,Y
9,5,T1 LL/T2 control,LL,51.3,72.15,148.2,7.4,8,7.5,Y
9,6,T1 control/T2 short,Control,136.5,74.34,163.6,7.3,7,7.5,Y
9,7,T1 SE/T2 short,SE,150.6,84,190.9,8.6,8,10.5,N
9,8,T1 LE/T2 short,LE,129.3,72.73,163.8,9.8,8,10.9,Y
9,9,T1 SL/T2 short,SL,135.1,77.49,165.5,8.5,7,8.3,Y
9,10,T1 LL/T2 control,LL,55.2,73.31,76.4,7.5,7,7.3,Y
9,11,T1 control/T2 long,Control,141.7,73.03,166.2,8,7,8.1,Y
9,12,T1 SE/T2 long,SE,147.6,82.12,188.8,10.5,9,12,Y
9,13,T1 LE/T2 long,LE,157.2,82.35,188.7,10.2,8,11,Y
9,14,T1 SL/T2 long,SL,137.7,77.14,167.1,7.5,7,7.6,Y
9,15,T1 LL/T2 long,LL,59.1,79.74,80,8.5,8,8.5,Y
10,1,T1 control/T2 control,Control,143.6,74.79,171.8,8.2,8,8.8,Y
10,2,T1 SE/T2 control,SE,122.7,69.52,154.8,8.3,8,9,Y
